project_name,in_flight_hours_p85,in_flight_hours_n,in_flight_hours_avg,in_flight_hours_p50,in_flight_hours_min,in_flight_hours_max
New Market Expansion ,8.9,10,316.26,189.41,3.85,990.08
"Documents, Forms, and Ratings",47.28,70,187.6,148.94,0.06,2828.53
Systems Engineering,22.17,17,305.09,24.54,5.14,2135.46
Acquisition,120.44,19,142.24,99.72,0.01,501.3
Claims Intake,97.54,17,130.71,124.9,22.97,337.11
Policy Lifecycle,145.42,16,336.48,817.06,0.63,1169.8
IT Projects,190.06,16,594.25,313.84,21.31,2346.49
Common UI,96.7,2,720.51,1344.32,96.7,1344.32
,380.49,10,244.12,332.31,24.11,500.74
Customer Management,25.21,15,166.45,290.13,1.31,831.79
Data Science,267.61,11,261.07,152.89,117.14,576.9
Accounting,0.93,11,206.89,18.86,0.93,980.98
Data Science Engineering,334.66,4,284.7,390.11,173.51,390.11
